id	m49_code	display_name	full_name	is_ldc	is_lldc	is_sids	development_status	m49_region_id	m49_sub_region_id	m49_intermediate_region_id
SAU	682	Saudi Arabia	Saudi Arabia	0	0	0	developing	asia	western_asia	NULL
SDN	729	Sudan	Sudan	1	0	0	developing	africa	northern_africa	NULL
SEN	686	Senegal	Senegal	1	0	0	developing	africa	sub_saharan_africa	western_africa
SGP	702	Singapore	Singapore	0	0	1	developing	asia	south_eastern_asia	NULL
SGS	239	South Georgia and the South Sandwich Islands	South Georgia and the South Sandwich Islands	0	0	0	developing	americas	latin_america_and_the_caribbean	south_america
SHN	654	Saint Helena	Saint Helena	0	0	0	developing	africa	sub_saharan_africa	western_africa
SJM	744	Svalbard and Jan Mayen Islands	Svalbard and Jan Mayen Islands	0	0	0	developed	europe	northern_europe	NULL
SLB	90	Solomon Islands	Solomon Islands	1	0	1	developing	oceania	melanesia	NULL
SLE	694	Sierra Leone	Sierra Leone	1	0	0	developing	africa	sub_saharan_africa	western_africa
SLV	222	El Salvador	El Salvador	0	0	0	developing	americas	latin_america_and_the_caribbean	central_america
SMR	674	San Marino	San Marino	0	0	0	developed	europe	southern_europe	NULL
SOM	706	Somalia	Somalia	1	0	0	developing	africa	sub_saharan_africa	eastern_africa
SPM	666	Saint Pierre and Miquelon	Saint Pierre and Miquelon	0	0	0	developed	americas	northern_america	NULL
SRB	688	Serbia	Serbia	0	0	0	developed	europe	southern_europe	NULL
SSD	728	South Sudan	South Sudan	1	1	0	developing	africa	sub_saharan_africa	eastern_africa
STP	678	Sao Tome and Principe	Sao Tome and Principe	1	0	1	developing	africa	sub_saharan_africa	middle_africa
SUR	740	Suriname	Suriname	0	0	1	developing	americas	latin_america_and_the_caribbean	south_america
SVK	703	Slovakia	Slovakia	0	0	0	developed	europe	eastern_europe	NULL
SVN	705	Slovenia	Slovenia	0	0	0	developed	europe	southern_europe	NULL
SWE	752	Sweden	Sweden	0	0	0	developed	europe	northern_europe	NULL
SWZ	748	Swaziland	Swaziland	0	1	0	developing	africa	sub_saharan_africa	southern_africa
SXM	534	Sint Maarten (Dutch part)	Sint Maarten (Dutch part)	0	0	1	developing	americas	latin_america_and_the_caribbean	caribbean
SYC	690	Seychelles	Seychelles	0	0	1	developing	africa	sub_saharan_africa	eastern_africa
SYR	760	Syria	Syrian Arab Republic	0	0	0	developing	asia	western_asia	NULL
TCA	796	Turks and Caicos Islands	Turks and Caicos Islands	0	0	0	developing	americas	latin_america_and_the_caribbean	caribbean
TCD	148	Chad	Chad	1	1	0	developing	africa	sub_saharan_africa	middle_africa
TGO	768	Togo	Togo	1	0	0	developing	africa	sub_saharan_africa	western_africa
THA	764	Thailand	Thailand	0	0	0	developing	asia	south_eastern_asia	NULL
TJK	762	Tajikistan	Tajikistan	0	1	0	developing	asia	central_asia	NULL
TKL	772	Tokelau	Tokelau	0	0	0	developing	oceania	polynesia	NULL
TKM	795	Turkmenistan	Turkmenistan	0	1	0	developing	asia	central_asia	NULL
TLS	626	Timor-Leste	Timor-Leste	1	0	1	developing	asia	south_eastern_asia	NULL
TON	776	Tonga	Tonga	0	0	1	developing	oceania	polynesia	NULL
TTO	780	Trinidad and Tobago	Trinidad and Tobago	0	0	1	developing	americas	latin_america_and_the_caribbean	caribbean
TUN	788	Tunisia	Tunisia	0	0	0	developing	africa	northern_africa	NULL
TUR	792	Turkey	Turkey	0	0	0	developing	asia	western_asia	NULL
TUV	798	Tuvalu	Tuvalu	1	0	1	developing	oceania	polynesia	NULL
TWN	NULL	Taiwan	Taiwan	0	0	0	developed	asia	eastern_asia	NULL
TZA	834	Tanzania	United Republic of Tanzania	1	0	0	developing	africa	sub_saharan_africa	eastern_africa
UGA	800	Uganda	Uganda	1	1	0	developing	africa	sub_saharan_africa	eastern_africa
UKR	804	Ukraine	Ukraine	0	0	0	developed	europe	eastern_europe	NULL
UMI	581	United States Minor Outlying Islands	United States Minor Outlying Islands	0	0	0	developing	oceania	micronesia	NULL
URY	858	Uruguay	Uruguay	0	0	0	developing	americas	latin_america_and_the_caribbean	south_america
USA	840	United States	United States of America	0	0	0	developed	americas	northern_america	NULL
UZB	860	Uzbekistan	Uzbekistan	0	1	0	developing	asia	central_asia	NULL
VAT	336	Holy See (Vatican City State)	Holy See	0	0	0	developed	europe	southern_europe	NULL
VCT	670	Saint Vincent and Grenadines	Saint Vincent and the Grenadines	0	0	1	developing	americas	latin_america_and_the_caribbean	caribbean
VEN	862	Venezuela	Venezuela (Bolivarian Republic of)	0	0	0	developing	americas	latin_america_and_the_caribbean	south_america
VGB	92	British Virgin Islands	British Virgin Islands	0	0	1	developing	americas	latin_america_and_the_caribbean	caribbean
VIR	850	Virgin Islands, US	United States Virgin Islands	0	0	1	developing	americas	latin_america_and_the_caribbean	caribbean
VNM	704	Vietnam	Viet Nam	0	0	0	developing	asia	south_eastern_asia	NULL
VUT	548	Vanuatu	Vanuatu	1	0	1	developing	oceania	melanesia	NULL
WLF	876	Wallis and Futuna Islands	Wallis and Futuna Islands	0	0	0	developing	oceania	polynesia	NULL
WSM	882	Samoa	Samoa	0	0	1	developing	oceania	polynesia	NULL
XKX	NULL	Kosovo	Kosovo	0	0	0	developed	europe	southern_europe	NULL
YEM	887	Yemen	Yemen	1	0	0	developing	asia	western_asia	NULL
ZAF	710	South Africa	South Africa	0	0	0	developing	africa	sub_saharan_africa	southern_africa
ZMB	894	Zambia	Zambia	1	1	0	developing	africa	sub_saharan_africa	eastern_africa
ZWE	716	Zimbabwe	Zimbabwe	0	1	0	developing	africa	sub_saharan_africa	eastern_africa
